State,Alias,HerdsCounty
AK,ALEUTIANS EAST,ALEUTIANS EAST BOROUGH
AK,ALEUTIANS WEST,ALEUTIANS WEST CENSUS AREA
AK,BETHEL,BETHEL CENSUS AREA
AK,BRISTOL BAY,BRISTOL BAY BOROUGH
AK,DENALI,DENALI BOROUGH
AK,DILLINGHAM,DILLINGHAM CENSUS AREA
AK,FAIRBANKS NORTH STAR,FAIRBANKS NORTH STAR BOROUGH
AK,HAINES,HAINES BOROUGH
AK,JUNEAU,JUNEAU CITY AND BOROUGH
AK,KENAI PENINSULA,KENAI PENINSULA BOROUGH
AK,KETCHIKAN GATEWAY,KETCHIKAN GATEWAY BOROUGH
AK,KODIAK ISLAND,KODIAK ISLAND BOROUGH
AK,LAKE AND PENINSULA,LAKE AND PENINSULA BOROUGH
AK,NOME,NOME CENSUS AREA
AK,NORTH SLOPE,NORTH SLOPE BOROUGH
AK,NORTHWEST ARCTIC,NORTHWEST ARCTIC BOROUGH
AK,SITKA,SITKA CITY AND BOROUGH
AK,SOUTHEAST FAIRBANKS,SOUTHEAST FAIRBANKS CENSUS AREA
AK,WADE HAMPTON,WADE HAMPTON CENSUS AREA
AK,WRANGELL,WRANGELL CITY
AK,YAKUTAT,YAKUTAT CITY AND BOROUGH
AL,DE KALB,DEKALB
AL,SAINT CLAIR,ST. CLAIR
AR,SAINT FRANCIS,ST. FRANCIS
FL,DE SOTO,DESOTO
FL,SAINT JOHNS,ST. JOHNS
FL,SAINT LUCIE,ST. LUCIE
IA,OBRIEN,O'BRIEN
IL,DEWITT,DE WITT
IL,LA SALLE,LASALLE
IL,SAINT CLAIR,ST. CLAIR
IN,DE KALB,DEKALB
IN,LA PORTE,LAPORTE
IN,ST JOSEPH,ST. JOSEPH
LA,ACADIA,ACADIA PARISH
LA,ALLEN,ALLEN PARISH
LA,ASCENSION,ASCENSION PARISH
LA,ASSUMPTION,ASSUMPTION PARISH
LA,AVOYELLES,AVOYELLES PARISH
LA,BEAUREGARD,BEAUREGARD PARISH
LA,BIENVILLE,BIENVILLE PARISH
LA,BOSSIER,BOSSIER PARISH
LA,CADDO,CADDO PARISH
LA,CALCASIEU,CALCASIEU PARISH
LA,CALDWELL,CALDWELL PARISH
LA,CAMERON,CAMERON PARISH
LA,CATAHOULA,CATAHOULA PARISH
LA,CLAIBORNE,CLAIBORNE PARISH
LA,CONCORDIA,CONCORDIA PARISH
LA,DE SOTO,DE SOTO PARISH
LA,EAST BATON ROUGE,EAST BATON ROUGE PARISH
LA,EAST CARROLL,EAST CARROLL PARISH
LA,EAST FELICIANA,EAST FELICIANA PARISH
LA,EVANGELINE,EVANGELINE PARISH
LA,FRANKLIN,FRANKLIN PARISH
LA,GRANT,GRANT PARISH
LA,IBERIA,IBERIA PARISH
LA,IBERVILLE,IBERVILLE PARISH
LA,JACKSON,JACKSON PARISH
LA,JEFFERSON,JEFFERSON DAVIS PARISH
LA,JEFFERSON,JEFFERSON PARISH
LA,JEFFERSON DAVIS,JEFFERSON DAVIS PARISH
LA,LA SALLE,LA SALLE PARISH
LA,LAFAYETTE,LAFAYETTE PARISH
LA,LAFOURCHE,LAFOURCHE PARISH
LA,LINCOLN,LINCOLN PARISH
LA,LIVINGSTON,LIVINGSTON PARISH
LA,MADISON,MADISON PARISH
LA,MOREHOUSE,MOREHOUSE PARISH
LA,NATCHITOCHES,NATCHITOCHES PARISH
LA,ORLEANS,ORLEANS PARISH
LA,OUACHITA,OUACHITA PARISH
LA,PLAQUEMINES,PLAQUEMINES PARISH
LA,POINTE COUPEE,POINTE COUPEE PARISH
LA,RAPIDES,RAPIDES PARISH
LA,RED RIVER,RED RIVER PARISH
LA,RICHLAND,RICHLAND PARISH
LA,SABINE,SABINE PARISH
LA,TANGIPAHOA,TANGIPAHOA PARISH
LA,TENSAS,TENSAS PARISH
LA,TERREBONNE,TERREBONNE PARISH
LA,UNION,UNION PARISH
LA,VERMILION,VERMILION PARISH
LA,VERNON,VERNON PARISH
LA,WASHINGTON,WASHINGTON PARISH
LA,WEBSTER,WEBSTER PARISH
LA,WEST BATON ROUGE,WEST BATON ROUGE PARISH
LA,WEST CARROLL,WEST CARROLL PARISH
LA,WEST FELICIANA,WEST FELICIANA PARISH
LA,WINN,WINN PARISH
MD,PRINCE GEORGES,PRINCE GEORGE'S
MD,QUEEN ANNES,QUEEN ANNE'S
MD,SAINT MARYS,ST. MARY'S
MI,SAINT CLAIR,ST. CLAIR
MI,SAINT JOSEPH,ST. JOSEPH
MN,SAINT LOUIS,ST. LOUIS
MO,SAINTE GENEVIEVE,STE. GENEVIEVE
MO,SAINT LOUIS CITY,ST. LOUIS CITY
MO,SAINT CHARLES,ST. CHARLES
MO,SAINT CLAIR,ST. CLAIR
MO,SAINT FRANCOIS,ST. FRANCOIS
MO,SAINT LOUIS,ST. LOUIS
NM,DONA ANA,DOÑA ANA
NY,SAINT LAWRENCE,ST. LAWRENCE
TX,DE WITT,DEWITT
VA,RADFORD,RADFORD CITY
VA,SALEM,SALEM CITY
WI,SAINT CROIX,ST. CROIX
